username,key,value
postnl,1,Wat is PostNL?
postnl,2,Wat nou als ik veel pakketten moet versturen?
postnl,3,Vertel me meer over de haalservice
postnl,4,Schrijf een mail voor een prospect over de haalservice
postnl,5,Wat zijn de duurzaamheidsvoordelen van de haalservice?
datastax,1,What is DataStax?
datastax,2,What is Vector Search?
datastax,3,Tell me more about why Astra DB is the best!
datastax,4,Write an email for a prospect about Astra DB
datastax,5,What advantages does Astra DB offer for Generative AI?
datastax,6,What strategies exits for meaningful agent interaction
datastax,7,How can I use Astra DB in a RAG application?
elsevier,1,What is Scopus.AI?
elsevier,2,Why is Scopus AI different from the other platforms?
elsevier,3,How does Scopus AI ensure data privacy and security?
dssmith,1,Tell me about DISCS packaging solution?
dssmith,2,What are the takeaways from the annual financial report?

